,ARGO_ERR_MIN,ARGO_ERR_MAX,OVERALL_ER,OVERALL_RE,OVERALL_N,OVERALL_NP,AIR_ER,AIR_RE,AIR_N,AIR_NP,CTD_NCEP_ER,CTD_NCEP_RE,CTD_NCEP_N,CTD_NCEP_NP,CTD_WOA_ER,CTD_WOA_RE,CTD_WOA_N,CTD_WOA_NP,WOA_ER,WOA_RE,WOA_N,WOA_NP
"PSAL': 0.005,'THETA0': 0.005,'PRES': 100",1.3766783315381488,3.00000011745043,0.8128576637107017,0.49099309747319314,23.0,19.0,1.0362117304466096,0.3639438908648447,5.0,5.0,2.4263180511132987,0.855579764628695,11.0,8.0,-0.5645678419377589,0.1928061102536831,4.0,3.0,-0.9616300115254717,0.33052710312124267,3.0,3.0
"PSAL': 0.01,'THETA0': 0.01,'PRES': 10",1.381874243360339,3.000000150238323,-0.43151886065851386,0.4030538346028725,9.0,9.0,0.06912393975238729,0.030579098448185467,3.0,3.0,-1.3734186239695134,0.4703013502745736,4.0,4.0,-1.1841281590454287,0.4073276097032354,2.0,2.0,,,,
"SIGMA0': 0.01, 'PRES': 100",1.234305297944295,3.000000177735233,-1.8167354484759812,1.196786318367067,199.0,51.0,1.6041318300124772,0.9580674818980552,24.0,12.0,-2.089355774720957,1.3227638446948848,123.0,26.0,-0.8918236881571033,0.6948822834302137,24.0,5.0,-4.652254566727635,1.6565691370500861,28.0,8.0
