serial_number,deploy_cruise_id,osnap_id,station,LATITUDE,LONGITUDE,DEPTH,logger_type,deploy_date,deploy_ship,deploy_caldip_cast,recovery_cruise_id,recovery_date,recovery_ship,recovery_caldip_cast,microcat_filename,post_deployment_cast,pre_recovery_cast,notes
204366,AR45,OSNAP-22,CF5,59.986,-42.026,1000,rbr,2020-07-17,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF5_MCTD_2020_22163_1000m,92,,
204360,AR45,OSNAP-22,CF6,59.956,-41.743,100,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22201_100m,89,,
204383,AR45,OSNAP-22,CF6,59.956,-41.743,250,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22164_250m,89,,
204367,AR45,OSNAP-22,CF6,59.956,-41.743,750,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22129_750m,89,,
204363,AR45,OSNAP-22,CF6,59.956,-41.743,750,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22129_750m,89,,
204365,AR45,OSNAP-22,CF7,59.925,-41.436,100,rbr,2020-07-12,Armstrong,ar45_001,AR69-03,2022-09-01,Armstrong,ar69-03_078,CF7_MCTD_2020_22227_100m,86,,"(also ar69-03_038, but didn't work)"
204364,AR45,OSNAP-22,CF7,59.925,-41.436,500,rbr,2020-07-12,Armstrong,ar45_002,AR69-03,,Armstrong,n/a,Missing,86,,
204359,AR45,OSNAP-22,CF7,59.925,-41.436,1000,rbr,2020-07-12,Armstrong,ar45_002,AR69-03,2022-09-01,Armstrong,ar69-03_078,CF7_MCTD_2020_22170_1000m,86,,
204368,AR46,OSNAP-26,M1,59.903,-41.11,50,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_50m,12,17,
204369,AR46,OSNAP-26,M1,59.903,-41.11,500,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_500m,12,17,
204362,AR46,OSNAP-26,M1,59.903,-41.11,1000,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_1000m,12,17,
204378,AR46,OSNAP-26,M1,59.903,-41.11,1750,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_1750m,12,17,
204371,AR46,OSNAP-26,M1,59.903,-41.11,2025,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_2046m,12,17,
204373,AR46,OSNAP-26,M2,59.861,-40.687,1500,rbr,2020-08-22,Armstrong,ar46_004,AR69-01,2022-07-08,Armstrong,ar69-01_021,M2_OS_OSNAP-WHOI_M2_202008_MCTD_1500m,11,11,
204379,AR46,OSNAP-26,M2,59.861,-40.687,2200,rbr,2020-08-22,Armstrong,ar46_004,AR69-01,2022-07-08,Armstrong,ar69-01_021,M2_OS_OSNAP-WHOI_M2_202008_MCTD_2191m,11,11,
204377,AR46,OSNAP-26,M2,59.861,-40.687,2423,rbr,2020-08-22,Armstrong,ar46_004,AR69-01,2022-07-08,Armstrong,ar69-01_021,M2_OS_OSNAP-WHOI_M2_202008_MCTD_2383m,11,11,
204381,AR46,OSNAP-26,M3,59.819,-40.275,1000,rbr,2020-08-21,Armstrong,ar46_004,AR69-01,2022-07-03,Armstrong,ar69-01_017,M3_OS_OSNAP-WHOI_M3_202008_MCTD_1000m,10,10,
204382,AR46,OSNAP-26,M3,59.819,-40.275,2000,rbr,2020-08-21,Armstrong,ar46_004,AR69-01,2022-07-03,Armstrong,ar69-01_017,M3_OS_OSNAP-WHOI_M3_202008_MCTD_2000m,10,10,
204380,AR46,OSNAP-26,M3,59.819,-40.275,2557,rbr,2020-08-21,Armstrong,ar46_004,AR69-01,2022-07-03,Armstrong,ar69-01_017,M3_OS_OSNAP-WHOI_M3_202008_MCTD_2517m,10,10,
52631,MSM94-01,OSNAP-25,K7,52.8403,-51.5485,602,rbr,2020-08-17,Maria S Merian,msm094_013,M184,,Meteor,msm184_008,K7_kpo_1220_instr_15_MCTD_600m,6,5,
52627,MSM94-01,OSNAP-25,K7,52.8403,-51.5485,1100,rbr,2020-08-17,Maria S Merian,msm094_013,M184,,Meteor,msm184_008,K7_kpo_1220_instr_20_MCTD_1098m,6,5,
3413,MSM94-01,OSNAP-25,K7,52.8403,-51.5485,50,dal,2020-08-17,Maria S Merian,msm094_009,M184,,Meteor,n/a,K7_kpo_1220_instr_07_MCTD_49m,6,5,
52626,MSM94-01,OSNAP-25,K8,52.9557,-51.3102,597,rbr,2020-08-18,Maria S Merian,msm094_014,M184,,Meteor,msm184_008,K8_kpo_1221_instr_08_MCTD_597m,7,3,
52634,MSM94-01,OSNAP-25,K8,52.9557,-51.3102,1797,rbr,2020-08-18,Maria S Merian,msm094_014,M184,,Meteor,msm184_008,K8_kpo_1221_instr_14_MCTD_1797m,7,3,
3409,MSM94-01,OSNAP-25,K9,53.137,-50.871,101,dal,2020-08-15,Maria S Merian,msm094_009,M184,,Meteor,msm184_054,K9_kpo_1223_instr_07_MCTD_80m,9,8,
52628,MSM94-01,OSNAP-25,K9,53.137,-50.871,599,rbr,2020-08-15,Maria S Merian,msm094_012,M184,,Meteor,msm184_012,K9_kpo_1223_instr_11_MCTD_584m,9,8,
52629,MSM94-01,OSNAP-25,K9,53.137,-50.871,1844,rbr,2020-08-15,Maria S Merian,msm094_012,M184,,Meteor,msm184_012,K9_kpo_1223_instr_17_MCTD_1829m,9,8,
52633,MSM94-01,OSNAP-25,K9,53.137,-50.871,2878,rbr,2020-08-15,Maria S Merian,msm094_012,M184,,Meteor,msm184_012,K9_kpo_1223_instr_25_MCTD_2869m,9,8,
3412,MSM94-01,OSNAP-25,K10,53.3873,-50.2547,92,dal,2020-08-19,Maria S Merian,msm094_009/015,M184,,Meteor,n/a,K10_kpo_1225_instr_02_MCTD_87m,11,10,
52630,MSM94-01,OSNAP-25,K10,53.3873,-50.2547,596,rbr,2020-08-19,Maria S Merian,msm094_015,M184,,Meteor,msm184_012,K10_kpo_1225_instr_08_MCTD_599m,11,10,
3416,MSM94-01,OSNAP-25,K10,53.3873,-50.2547,993,dal,2020-08-19,Maria S Merian,msm094_015,M184,,Meteor,n/a,K10_kpo_1225_instr_11_MCTD_998m,11,10,
52635,MSM94-01,OSNAP-25,K10,53.3873,-50.2547,1993,rbr,2020-08-19,Maria S Merian,msm094_015,M184,,Meteor,msm184_014,K10_kpo_1225_instr_16_MCTD_1993,11,10,
3415,MSM94-01,OSNAP-25,K10,53.3873,-50.2547,3334,dal,2020-08-19,Maria S Merian,msm094_015,M184,,Meteor,msm184_054,K10_kpo_1225_instr_23_MCTD_3340m,11,10,
3312,MSM94-01,OSNAP-25,DSOW2,53.2567,-50.5542,3124,dal,2020-08-17,Maria S Merian,msm094_012,M184,,Meteor,msm184_054,DSOW2_kpo_1224_instr_06_MCTD_3124m,14,9,
3499,MSM94-01,OSNAP-25,DSOW5,53.5927,-49.7828,3575,dal,2020-08-16,Maria S Merian,msm094_012,M184,,Meteor,n/a,DSOW5_kpo_1226_instr_04_MCTD_3575m,12,11,
2809,MSM94-01,OSNAP-25,K1,56.5617,-52.657,1506,dal,2020-08-21,Maria S Merian,,M184,,Meteor,msm184_048/077,,28,51,
204329,MSM94-01,OSNAP-25,DSOW3,,,3104,rbr,,Maria S Merian,msm094_002,,,#N/A,ar69-03_126,DSOW3_kpo_1227_instr_04_MC_3109,41,???,"30 second sampling interval, some white residue (paint?) on sensor"
